1,手机
255,,手机
255,,配件
2,相机/摄像机
255,,单反镜头
255,,数码单反
255,,普通数码相机
255,,胶片相机
255,,摄像机
255,,其他
3,电脑/电脑配件
255,,笔记本电脑
255,,平板电脑
255,,台式机
255,,显示器
255,,台式机配件
255,,网络设备
255,,笔记本配件
4,数码3C产品
255,,MP3/MP4/录音笔
255,,游戏机
255,,游戏软件
255,,U盘
255,,移动硬盘
255,,闪存卡
255,,其他
5,服装/服饰
255,,女装
255,,男装
255,,男鞋
255,,女鞋
255,,饰品
255,,箱包
255,,其他
6,美容/美颜/香水
255,,美容护肤
255,,彩妆
255,,美容工具
255,,香水
255,,美容护发
255,,其他
7,家居/日用品
255,,家具
255,,日用日化
255,,建材
255,,家饰家纺
255,,其他
8,食品/保健品
255,,食品
255,,保健品
9,家用电器/影音设备
255,,电视机
255,,洗衣机
255,,空调
255,,冰箱
255,,其他大家电
255,,厨房电器
255,,影音/耳机/HIFI
255,,生活小家电
10,母婴/儿童用品/玩具
255,,孕产妇用品/营养
255,,婴儿装/童装
255,,玩具/早教/益智
255,,婴儿用品
255,,奶粉/宝宝营养
255,,其他
11,宠物/宠物用品
255,,宠物
255,,宠物用品
255,,宠物食品
255,,其他
12,生活服务/票务/卡券
255,,电影票
255,,演出赛事
255,,折扣券/购物卡
255,,餐饮美食
255,,休闲娱乐
255,,生活服务
255,,其他
13,书刊音像/问题用品
255,,书籍
255,,CD/DVD
255,,期刊杂志
255,,乐器
255,,运动器材
255,,文具
255,,其他
14,汽摩/电动车/自行车
255,,二手整车
255,,骑车配件
255,,摩托/电动车
255,,摩托/电动配件
255,,自行车
255,,其他
15,珠宝/黄金/手表
255,,裴翠
255,,黄金
255,,玉石
255,,钻石
255,,手表
255,,其他
16,艺术品/收藏品/古董古玩
255,,书画
255,,收藏品
255,,古玩
255,,其他
17,其他闲置
